productId,name,category,brand,price,quantity,freeShipping,prestige
1,Desmalezadora,Herramientas,Makita,$9600.0,0,true,****
2,Taladro,Herramientas,Black & Decker,$12500.0,7,true,****
3,Soldadora,Herramientas,Black & Decker,$7215.0,10,true,***
4,Zapatillas Deportivas,Deportes,Adidas,$13650.0,6,true,*****
5,Zapatillas Deportivas,Deportes,Nike,$14000.0,2,true,*****
6,Camiseta,Deportes,Topper,$2300.0,2,false,***
7,Redmi Note 9,Celulares,Xiaomi,$40000.0,15,true,****
8,Smartwatch,Celulares,Noga,$1900.0,20,false,**
9,Remera,Indumentaria,Taverniti,$2300.0,2,false,***
10,Chomba,Indumentaria,Taverniti,$2400.0,6,false,***
11,Medias,Indumentaria,Mistral,$500.0,8,false,*
12,Short,Indumentaria,Lacoste,$3900.0,9,true,***
